"time","Pop.Bighorn.BCS","Pop.Bighorn.Ejido","Demand.Permit.Ejido","Price.Permit.Ejido","Rainfall.Change","Income.From.Permits","No.Permits.Ejido","Price.Permit.Relative","No.Permits.BCS","Price.Permit.Ejido.1","Sighting.Bighorn.Ejido","RunID","FutureID","Climate.Scenario","Resilience"
0,586,126,10,70,1.06704629450105,227.08672,3.244096,1.28571428571429,15.507904,70,7.90000067282297,"1","1","CEH_1.1","NO"
0.5,587.557353335057,126.328286813228,10.3750521245499,69.9061908920093,1.13347217560485,227.385091036424,3.25271750806288,1.28743962232231,15.5491177986589,69.9061908920093,7.92058373667522,"1","1","CEH_1.1","NO"
1,588.588721028244,126.545712704083,10.7503947280317,69.9226831969973,0.998812476004836,227.837970002067,3.25842715961236,1.28713596053569,15.5764119132915,69.9226831969973,7.93421599607233,"1","1","CEH_1.1","NO"
1.5,588.956032343279,126.623173117554,11.1255039833247,70.0855615766639,1.04762021154204,228.511211802831,3.2604605950524,1.28414466511126,15.5861324399325,70.0855615766639,7.93907264145761,"1","1","CEH_1.1","NO"
2,587.647879140097,126.344390064606,11.5001508099963,70.6613874469365,0.879590608463554,229.876944107519,3.25321865891957,1.27368005712577,15.5515134735635,70.6613874469365,7.92159338506186,"1","1","CEH_1.1","NO"
2.5,582.646138969276,125.278213705294,11.8725631170638,72.1931490887363,0.830199372483838,232.861097815978,3.22552902533391,1.24665568874654,15.4191474216829,72.1931490887363,7.85474581398317,"1","1","CEH_1.1","NO"
3,578.39623571481,124.372430779264,12.2418883353733,73.5698930965171,0.917396206860174,235.570912531558,3.20200156091719,1.22332650234965,15.3066779819567,73.5698930965171,7.79795465743505,"1","1","CEH_1.1","NO"
3.5,573.882432819311,123.410187515646,12.6088210103925,75.0667521013484,0.815117349620488,238.488058410224,3.17701314808771,1.19893291611298,15.1872247021303,75.0667521013484,7.73762352703822,"1","1","CEH_1.1","NO"
4,568.819552516139,122.330612904953,12.9725632874798,76.7625988670844,0.885977409255299,241.724275673481,3.14898504272934,1.17244597405875,15.0532406377871,76.7625988670844,7.66993590679346,"1","1","CEH_1.1","NO"
4.5,560.292082424275,120.509148976323,13.3329963059522,79.5655928080879,0.66211884496048,246.794723241326,3.10177696830078,1.13114220385538,14.827569669276,79.5655928080879,7.55573299995453,"1","1","CEH_1.1","NO"
5,550.078621404211,118.326391583583,13.6875409547244,82.9951632768917,0.805734123169068,252.739796632084,3.04523524809371,1.08440054150792,14.557280636841,82.9951632768917,7.41887756446838,"1","1","CEH_1.1","NO"
5.5,538.335996374615,115.815025642877,14.0371731914333,87.0884079909152,0.604643510660433,259.543318582561,2.98022807592987,1.03343260114927,14.2465238080578,87.0884079909152,7.26141889287094,"1","1","CEH_1.1","NO"
6,520.542217054188,112.003790024566,14.379124097547,93.4757459289658,0.603659623791243,269.371086739578,2.88172171361198,0.96281660130739,13.775629232122,93.4757459289658,7.02246044883169,"1","1","CEH_1.1","NO"
6.5,502.8464990776,108.212665187062,14.7130447163497,100.189081924533,0.591981374425607,278.902180250821,2.78375821889359,0.898301474284318,13.3073297515896,100.189081924533,6.78476291893461,"1","1","CEH_1.1","NO"
7,482.755384966719,103.905432118511,15.039137072468,108.24067618159,0.531148309838245,289.276866839826,2.67253381117576,0.83148039327666,12.7756385077593,108.24067618159,6.51470621941426,"1","1","CEH_1.1","NO"
7.5,463.678056759889,99.8150761667528,15.3572004253993,116.359982108922,0.597270221393706,298.686965672843,2.56692172222275,0.773461789601797,12.2707760940937,116.359982108922,6.25824737202558,"1","1","CEH_1.1","NO"
8,443.792499391036,95.5496762280839,15.6685795067016,125.35674039292,0.49561641967606,307.980861960521,2.45683527662878,0.717951022959777,11.7445247038844,125.35674039292,5.99081354357047,"1","1","CEH_1.1","NO"
8.5,416.282768865108,89.6420254817266,15.9719079295416,138.656626040544,0.424104132383814,319.539936264631,2.30454140843724,0.649085460753121,11.0165071952462,138.656626040544,5.62041318745122,"1","1","CEH_1.1","NO"
9,386.474164707532,83.2375132950951,16.2661256371697,154.346908643045,0.426125533059646,330.228448594906,2.1395209758209,0.583102057509563,10.2276522948201,154.346908643045,5.21886040504256,"1","1","CEH_1.1","NO"
9.5,362.588997174581,78.1065905380378,16.5525690419312,168.072577491463,0.494848055689081,337.370855912177,2.00729268835848,0.535482952324995,9.59555522122811,168.072577491463,4.89715966509847,"1","1","CEH_1.1","NO"
10,341.786812218482,73.6380719815721,16.8333142433564,181.019390759665,0.459604681244272,342.512544304755,1.89213179244152,0.497184305075311,9.04504619854991,181.019390759665,4.61699062063338,"1","1","CEH_1.1","NO"
10.5,310.742239458258,66.9614354155472,17.1079705123447,202.150695105347,0.289655692223967,347.753581727318,1.72026903764091,0.445212419146509,8.22348262502333,202.150695105347,4.1983760701271,"1","1","CEH_1.1","NO"
11,272.944737429939,58.8272290638866,17.3740899996023,231.300650876152,0.310304057860181,349.500387449357,1.51102206641214,0.38910396343065,7.22320953134591,231.300650876152,3.68837419988107,"1","1","CEH_1.1","NO"
11.5,246.18989892454,53.070407006677,17.6331797817386,254.85829025948,0.39470820501908,347.34821927673,1.36290728044626,0.353137423579072,6.51516948513904,254.85829025948,3.32743056396617,"1","1","CEH_1.1","NO"
12,220.388527355281,47.5171347188699,17.8873021769476,280.525524738911,0.28085496337625,342.261025917448,1.22007088743883,0.320826420639491,5.83236198793015,280.525524738911,2.97924917658486,"1","1","CEH_1.1","NO"
